Site,Date ,Transect,start_lat,start_long,end_lat,end_long,Species,Habitat,crevice_depth_cm,crevice_width_cm,position_m,Condition,Size (cm),Transect Side,Distance,Investigator,Entered By,Check By ,Date Checked,Notes
Carmel Point,1032026,2,36.544133,-121.933667,36.543967,-121.933867,H. cracherodii,rock,65,85,0.7,Good,10,Ocean,,"Blanca, Sofia, PS",Hailey,Bravo,18032026,
Carmel Point,1032026,2,36.544133,-121.933667,36.543967,-121.933867,H. cracherodii,rock,65,85,0.7,Good,10,Ocean,,"Blanca, Sofia, PS",Hailey,Bravo,18032026,
Carmel Point,1032026,2,36.544133,-121.933667,36.543967,-121.933867,H. cracherodii,rock,65,85,0.7,Good,10,Ocean,,"Blanca, Sofia, PS",Hailey,Bravo,18032026,
Carmel Point,1032026,2,36.544133,-121.933667,36.543967,-121.933867,H. cracherodii,rock,65,85,0.7,Good,8,Ocean,,"Blanca, Sofia, PS",Hailey,Bravo,18032026,
Carmel Point,1032026,2,36.544133,-121.933667,36.543967,-121.933867,H. rufescens,rock,65,85,0.7,Good,15,Ocean,,"Blanca, Sofia, PS",Hailey,Bravo,18032026,
Carmel Point,1032026,2,36.544133,-121.933667,36.543967,-121.933867,H. cracherodii,boulder,35,70,9,Good ,12,Ocean,,"Blanca, Sofia, PS",Hailey,Bravo,18032026,
Carmel Point,1032026,2,36.544133,-121.933667,36.543967,-121.933867,H. cracherodii,boulder,35,70,9,Good,11,Ocean,,"Blanca, Sofia, PS",Hailey,Bravo,18032026,
Carmel Point,1032026,2,36.544133,-121.933667,36.543967,-121.933867,H. cracherodii,boulder,35,70,9,Good ,8,Ocean,,"Blanca, Sofia, PS",Hailey,Bravo,18032026,
Carmel Point,1032026,2,36.544133,-121.933667,36.543967,-121.933867,H. cracherodii,boulder,35,70,9,Good,6,Ocean,,"Blanca, Sofia, PS",Hailey,Bravo,18032026,
Carmel Point,1032026,2,36.544133,-121.933667,36.543967,-121.933867,H. cracherodii,boulder,55,20,10.5,Good,8,Land,,"Blanca, Sofia, PS",Hailey,Bravo,18032026,
Carmel Point,1032026,2,36.544133,-121.933667,36.543967,-121.933867,H. cracherodii,boulder,55,20,10.5,Good,10,Land,,"Blanca, Sofia, PS",Hailey,Bravo,18032026,
Carmel Point,1032026,2,36.544133,-121.933667,36.543967,-121.933867,H. cracherodii,boulder,55,20,10.5,Good,13,Land,,"Blanca, Sofia, PS",Hailey,Bravo,18032026,
Carmel Point,1032026,2,36.544133,-121.933667,36.543967,-121.933867,H. cracherodii,boulder,30,15,11.4,Mod,7,Ocean,,"Blanca, Sofia, PS",Hailey,Bravo,18032026,
Carmel Point,1032026,2,36.544133,-121.933667,36.543967,-121.933867,H. cracherodii,boulder,55,50,12.8,Mod,10,Ocean,,"Blanca, Sofia, PS",Hailey,Bravo,18032026,
Carmel Point,1032026,2,36.544133,-121.933667,36.543967,-121.933867,H. cracherodii,boulder,20,30,11.8,Mod,9,Ocean,,"Blanca, Sofia, PS",Hailey,Bravo,18032026,
Carmel Point,1032026,3,36.5439,-121. 93391,36.54377,-121. 93403,H. cracherodii,boulder,20,6,10.1,Bad,5,Land,,"RR, DF, NB",Ryan,,,
Carmel Point,1032026,3,36.5439,-121. 93392,36.54377,-121. 93404,H. cracherodii,boulder,20,5,10.1,Good,8,Land,,"RR, DF, NB",Ryan,,,
Carmel Point,1032026,3,36.5439,-121. 93393,36.54377,-121. 93405,H. cracherodii,boulder,16,9,16.7,Bad,4.5,Land,,"RR, DF, NB",Ryan,,,
Carmel Point,1032026,3,36.5439,-121. 93394,36.54377,-121. 93406,H. cracherodii,boulder,30,5,17.2,Mod,7,Ocean,,"RR, DF, NB",Ryan,,,
Carmel Point,4192026,5,36.5436624,-121.9341988,36.5434626,-121.9342002,H. cracherodii,rock,10,13,11.3,Good,12,Land,,"Zach, Ty",Makenna,Zach,4222026,
Carmel Point,4192026,5,36.5436624,-121.9341988,36.5434626,-121.9342002,H. cracherodii,rock ,55,15,17.8,Good,15,land ,,"Zach, Ty",Makenna,Zach,4222026,
Carmel Point,4192026,5,36.5436624,-121.9341988,36.5434626,-121.9342002,H. cracherodii,rock ,30,12,18.35,Mod,7,ocean,,"Zach, Ty",Makenna,Zach,4222026,
Carmel Point,4192026,5,36.5436624,-121.9341988,36.5434626,-121.9342002,H. cracherodii,rock ,16,6,16.15,Bad,4,land,,"Zach, Ty",Makenna,Zach,4222026,
Carmel Point,4192026,5,36.5436624,-121.9341988,36.5434626,-121.9342002,H. cracherodii,rock ,35,5,16.9,Bad,5,ocean,,"Zach, Ty",Makenna,Zach,4222026,
Carmel Point,4192026,5,36.5436624,-121.9341988,36.5434626,-121.9342002,H. cracherodii,rock ,8,10,10.5,Mod,9,land,,"Zach, Ty",Makenna,Zach,4222026,
Carmel Point,4192026,4,36.54154,-121.93243,36.54347,-121.93352,H. cracherodii,boulder,31,14,1,Good,4.5,land,28,"Blanca, Addison",Hailey,Bravo,4222026,
Carmel Point,4192026,4,36.54154,-121.93243,36.54347,-121.93352,H. cracherodii,boulder,31,14,1,Good,2,land,28,"Blanca, Addison",Hailey,Bravo,4222026,
Carmel Point,4192026,4,36.54154,-121.93243,36.54347,-121.93352,H. cracherodii,boulder,31,14,1,Good,2,land,28,"Blanca, Addison",Hailey,Bravo,4222026,
Carmel Point,4192026,4,36.54154,-121.93243,36.54347,-121.93352,H. cracherodii,boulder,31,14,1,Good,3,land,28,"Blanca, Addison",Hailey,Bravo,4222026,
Hopkins,4222026,4,36.621486,-121.903513,36.621576,-121.903395,H. cracherodii,rock,12,5,5.6,Good,6,land,25,"Makenna, Zach",Makenna,Zach,4222026,
Hopkins,4222026,4,36.621486,-121.903513,36.621576,-121.903395,H. cracherodii,rock,12,5,5.6,Good,4,land,25,"Makenna, Zach",Makenna,Zach,4222026,
Hopkins,4222026,4,36.621486,-121.903513,36.621576,-121.903395,H. cracherodii,rock,35,10,4.7,Good,5,land,65,"Makenna, Zach",Makenna,Zach,4222026,
Hopkins,4222026,4,36.621486,-121.903513,36.621576,-121.903395,H. cracherodii,rock,35,10,4.7,Good,10,land,65,"Makenna, Zach",Makenna,Zach,4222026,
Hopkins,4222026,4,36.621486,-121.903513,36.621576,-121.903395,H. cracherodii,rock,35,10,4.7,Good,8,land,65,"Makenna, Zach",Makenna,Zach,4222026,
Hopkins,4222026,4,36.621486,-121.903513,36.621576,-121.903395,H. cracherodii,rock,35,10,4.7,Good,8,land,65,"Makenna, Zach",Makenna,Zach,4222026,
Hopkins,4222026,4,36.621486,-121.903513,36.621576,-121.903395,H. cracherodii,rock,35,10,4.7,Good,13,land,65,"Makenna, Zach",Makenna,Zach,4222026,
Hopkins,4222026,4,36.621486,-121.903513,36.621576,-121.903395,H. cracherodii,rock,35,10,4.7,Good,4,land,65,"Makenna, Zach",Makenna,Zach,4222026,
Hopkins,4222026,4,36.621486,-121.903513,36.621576,-121.903395,H. cracherodii,rock,35,10,4.7,Good,3,land,65,"Makenna, Zach",Makenna,Zach,4222026,
Hopkins,4222026,4,36.621486,-121.903513,36.621576,-121.903395,H. cracherodii,rock,35,10,4.7,Good,7,land,65,"Makenna, Zach",Makenna,Zach,4222026,
Hopkins,4222026,4,36.621486,-121.903513,36.621576,-121.903395,H. cracherodii,rock,35,10,4.7,Good,6,land,65,"Makenna, Zach",Makenna,Zach,4222026,
Hopkins,4222026,4,36.621486,-121.903513,36.621576,-121.903395,H. cracherodii,rock,35,10,4.7,Good,4,land,65,"Makenna, Zach",Makenna,Zach,4222026,
Hopkins,4222026,4,36.621486,-121.903513,36.621576,-121.903395,H. cracherodii,rock,35,10,4.7,Good,3,land,65,"Makenna, Zach",Makenna,Zach,4222026,
Hopkins,4222026,4,36.621486,-121.903513,36.621576,-121.903395,H. cracherodii,rock,100,17,4.8,Good,11,ocean,50,"Makenna, Zach",Makenna,Zach,4222026,
Hopkins,4222026,4,36.621486,-121.903513,36.621576,-121.903395,H. cracherodii,rock,100,17,4.8,Good,13,ocean,50,"Makenna, Zach",Makenna,Zach,4222026,
Hopkins,4222026,4,36.621486,-121.903513,36.621576,-121.903395,H. cracherodii,rock,100,17,4.8,Good,10,ocean,50,"Makenna, Zach",Makenna,Zach,4222026,
Hopkins,4222026,4,36.621486,-121.903513,36.621576,-121.903395,H. cracherodii,rock,100,17,4.8,Good,8,ocean,50,"Makenna, Zach",Makenna,Zach,4222026,
Hopkins,4222026,4,36.621486,-121.903513,36.621576,-121.903395,H. cracherodii,rock,100,17,4.8,Good,6,ocean,50,"Makenna, Zach",Makenna,Zach,4222026,
Hopkins,4222026,4,36.621486,-121.903513,36.621576,-121.903395,H. cracherodii,rock,10,2,5.1,Good,4,ocean,65,"Makenna, Zach",Makenna,Zach,4222026,
Hopkins,4222026,4,36.621486,-121.903513,36.621576,-121.903395,H. cracherodii,rock,10,2,5.1,Good,4,ocean,65,"Makenna, Zach",Makenna,Zach,4222026,
Hopkins,4222026,4,36.621486,-121.903513,36.621576,-121.903395,H. cracherodii,rock,5,5,5.1,Mod,6,land,75,"Makenna, Zach",Makenna,Zach,4222026,
Pt Pinos,2032026,4,NA,NA,36.63845,121.93726,H. cracherodii,rock,40,15,19,Mod,8,Ocean,,"Makenna, Zach",Zach,Makenna,18032026,
Pt Pinos,2032026,4,NA,NA,36.63845,121.93726,H. cracherodii,rock,40,15,19,Mod,10,Ocean,,"Makenna, Zach",Zach,Makenna,18032026,
Pt Pinos,2032026,4,NA,NA,36.63845,121.93726,H. cracherodii,rock,150,30,18,Good,8,Land,,"Makenna, Zach",Zach,Makenna,18032026,
Pt Pinos,2032026,4,NA,NA,36.63845,121.93726,H. cracherodii,rock,150,30,18,Good,6,Land,,"Makenna, Zach",Zach,Makenna,18032026,
Pt Pinos,2032026,4,NA,NA,36.63845,121.93726,H. cracherodii,rock,150,30,18,Good,10,Land,,"Makenna, Zach",Zach,Makenna,18032026,
Pt Pinos,2032026,4,NA,NA,36.63845,121.93726,H. cracherodii,rock,150,30,18,Good,9,Land,,"Makenna, Zach",Zach,Makenna,18032026,
Pt Pinos,2032026,4,NA,NA,36.63845,121.93726,H. cracherodii,rock,30,20,17.5,Good,11,Ocean,,"Makenna, Zach",Zach,Makenna,18032026,
Pt Pinos,2032026,4,NA,NA,36.63845,121.93726,H. cracherodii,rock,30,20,17.5,Good,6,Ocean,,"Makenna, Zach",Zach,Makenna,18032026,
Pt Pinos,2032026,4,NA,NA,36.63845,121.93726,H. cracherodii,rock,30,20,17.5,Good,3,Ocean,,"Makenna, Zach",Zach,Makenna,18032026,
Pt Pinos,2032026,4,NA,NA,36.63845,121.93726,H. cracherodii,rock,30,20,17.5,Good,4,Ocean,,"Makenna, Zach",Zach,Makenna,18032026,
Pt Pinos,2032026,4,NA,NA,36.63845,121.93726,H. cracherodii,rock,60,10,16.5,Good,5,Land,,"Makenna, Zach",Zach,Makenna,18032026,
Pt Pinos,2032026,4,NA,NA,36.63845,121.93726,H. cracherodii,rock,60,10,16.5,Good,6,Land,,"Makenna, Zach",Zach,Makenna,18032026,
Pt Pinos,2032026,4,NA,NA,36.63845,121.93726,H. cracherodii,rock,60,10,16.5,Good,7,Land,,"Makenna, Zach",Zach,Makenna,18032026,
Pt Pinos,2032026,4,NA,NA,36.63845,121.93726,H. cracherodii,rock,60,10,16.5,Good,8,Land,,"Makenna, Zach",Zach,Makenna,18032026,
Pt Pinos,2032026,4,NA,NA,36.63845,121.93726,H. cracherodii,rock,15,20,16,Mod,7,Land,,"Makenna, Zach",Zach,Makenna,18032026,
Pt Pinos,2032026,4,NA,NA,36.63845,121.93726,H. cracherodii,rock,25,30,15,Mod,10,Land,,"Makenna, Zach",Zach,Makenna,18032026,
Pt Pinos,2032026,4,NA,NA,36.63845,121.93726,H. cracherodii,rock,100,50,15,Mod,5,Land,,"Makenna, Zach",Zach,Makenna,18032026,
Pt Pinos,2032026,5,NA,NA,36.63845,121.93726,H. cracherodii,rock,20,5,0.4,Good,8,Ocean,,"Lily, Parker, Samreen, Sara",,,,
Pt Pinos,1032026,6,36.63759,-121.93595,36.63768,-121.93623,H. cracherodii,boulder,10,5,29.2,Bad,4,Land,,"Bravo, Hailey",Bravo,Hailey,18032026,
Soberanes,4202026,3,NA,NA,NA,NA,H. cracherodii,rock,20,8,10,Good,10,Land,,"NB, RR, DF",Sofi,Sara,4222026,No listed Lat and Long start or end. No listed distance. 
Soberanes,4202026,3,NA,NA,NA,NA,H. cracherodii,rock,20,8,15,Good,6,Land,,"NB, RR, DF",Sofi,Sara,4222026,
Soberanes,4202026,3,NA,NA,NA,NA,H. cracherodii,rock,20,8,5,Good,7,Land,,"NB, RR, DF",Sofi,Sara,4222026,
Soberanes,4202026,3,NA,NA,NA,NA,H. cracherodii,rock,20,8,8,Good,7,Land,,"NB, RR, DF",Sofi,Sara,4222026,
Soberanes,4202026,3,NA,NA,NA,NA,H. cracherodii,rock,20,8,10,Good,3,Land,,"NB, RR, DF",Sofi,Sara,4222026,
Soberanes,4202026,3,NA,NA,NA,NA,H. cracherodii,rock,20,8,10,Good,3,Land,,"NB, RR, DF",Sofi,Sara,4222026,
Soberanes,4202026,3,NA,NA,NA,NA,H. cracherodii,rock,20,8,20,Good,15,Land,,"NB, RR, DF",Sofi,Sara,4222026,
Soberanes,4202026,3,NA,NA,NA,NA,H. cracherodii,rock,7,10,5,Bad,7,Ocean ,,"NB, RR, DF",Sofi,Sara,4222026,
Soberanes,4202026,3,NA,NA,NA,NA,H. cracherodii,rock,5,5,1,Mod,5,Land ,,"NB, RR, DF",Sofi,Sara,4222026,
Soberanes,4202026,3,NA,NA,NA,NA,H. cracherodii,rock,1,99,0,Bad,5,Land ,,"NB, RR, DF",Sofi,Sara,4222026,
Soberanes,4202026,3,NA,NA,NA,NA,H. cracherodii,rock,15,12,10,Bad,5,Ocean ,,"NB, RR, DF",Sofi,Sara,4222026,
Soberanes,4202026,3,NA,NA,NA,NA,H. cracherodii,rock,15,7,5,Mod,10,Land ,,"NB, RR, DF",Sofi,Sara,4222026,
Soberanes,4202026,3,NA,NA,NA,NA,H. cracherodii,rock,15,7,6,Mod,8,Land ,,"NB, RR, DF",Sofi,Sara,4222026,
Soberanes,4202026,4,36.452335,-121.929949,36.452324,-121.929829,H. cracherodii,rock,1,99,3.1,Bad,5,Land,40,AH,Sofi,Sara ,4222026,
Soberanes,4202026,4,36.452335,-121.929949,36.452324,-121.929829,H. cracherodii,rock,11,5,4.6,Mod,4,Land,5,AH,Sofi,Sara ,4222026,
Soberanes,4222026,1,36.452866,-121.930094,36.452861,-121.930271,H. cracherodii,rock,11,5,4.6,Mod,5,Land,5,AH,Sofi,Sara,4222026,
Soberanes,4222026,1,36.452866,-121.930094,36.452861,-121.930271,H. cracherodii,rock,15,10,0.85,Bad,4,ocean,,"Makenna, Zach",Makenna,Zach,4222026,
Soberanes,4222026,1,36.452866,-121.930094,36.452861,-121.930271,H. cracherodii,rock,5,5,1.4,Bad,10,ocean,,"Makenna, Zach",Makenna,Zach,4222026,
Soberanes,4222026,1,36.452866,-121.930094,36.452861,-121.930271,H. cracherodii,rock,30,15,15.8,Mod,10,land,,"Makenna, Zach",Makenna,Zach,4222026,
Soberanes,4222026,1,36.452866,-121.930094,36.452861,-121.930271,H. cracherodii,rock,5,7,12.4,Bad,10,land,,"Makenna, Zach",Makenna,Zach,4222026,
Soberanes,4222026,1,36.452866,-121.930094,36.452861,-121.930271,H. cracherodii,rock,5,10,12.5,Mod,10,land,,"Makenna, Zach",Makenna,Zach,4222026,
Soberanes,4222026,1,36.452866,-121.930094,36.452861,-121.930271,H. cracherodii,rock,5,10,12.5,Mod,4,land,,"Makenna, Zach",Makenna,Zach,4222026,
Soberanes,4222026,1,36.452866,-121.930094,36.452861,-121.930271,H. cracherodii,rock,10,10,11.3,Bad,3,land,,"Makenna, Zach",Makenna,Zach,4222026,
Soberanes,4222026,1,36.452866,-121.930094,36.452861,-121.930271,H. cracherodii,rock,5,5,12,Mod,3,ocean,,"Makenna, Zach",Makenna,Zach,4222026,
Soberanes,4202026,2,37.45285,-121.929884,36.452896,-121.930074,H. cracherodii,rock,0,0,11.5,Bad,4,ocean,,"Makenna, Zach",Makenna,Zach,4222026,
Soberanes,4202026,4,36.452335,-121.929949,36.452324,-121.929829,H. cracherodii,rock,1,99,10.5,Bad,6,Ocean ,0,"Lily, ericka ",,,,
Soberanes,4202026,4,36.452335,-121.929949,36.452324,-121.929829,H. cracherodii,rock,10,3,5.3,Good,3,Land,15,AH,Sofi,Sara ,4222026,
Soberanes,4202026,4,36.452335,-121.929949,36.452324,-121.929829,H. cracherodii,rock,10,3,5.3,Good,3,Land,20,AH,Sofi,Sara ,4222026,
Soberanes,4202026,4,36.452335,-121.929949,36.452324,-121.929829,H. cracherodii,rock,11,5,6.7,Good,3,Land,20,AH,Sofi,Sara ,4222026,
Soberanes,4202026,4,36.452335,-121.929949,36.452324,-121.929829,H. cracherodii,rock,11,5,6.7,Good,5,Land,,AH,Sofi,Sara ,4222026,
Soberanes,4202026,4,36.452335,-121.929949,36.452324,-121.929829,H. cracherodii,rock,11,5,6.7,Good,6,Land,,AH,Sofi,Sara ,4222026,
Soberanes,4202026,4,36.452335,-121.929949,36.452324,-121.929829,H. cracherodii,rock,20,12,7.3,Good,3,Land,40,AH,Sofi,Sara ,4222026,
Soberanes,4202026,4,36.452335,-121.929949,36.452324,-121.929829,H. cracherodii,rock,20,12,7.3,Good,5,Land,40,AH,,Sara ,4222026,
Soberanes,4202026,4,36.452335,-121.929949,36.452324,-121.929829,H. cracherodii,rock,20,12,7.3,Good,5,Land,40,AH,Sofi,Sara ,4222026,
Soberanes,4202026,4,36.452335,-121.929949,36.452324,-121.929829,H. cracherodii,rock,20,12,7.3,Good,7,Land,40,AH,Sofi,Sara ,4222026,
Soberanes,4202026,4,36.452335,-121.929949,36.452324,-121.929829,H. cracherodii,rock,20,12,7.3,Good,10,Land,40,AH,Sofi,Sara ,4222026,
Soberanes,4202026,4,36.452335,-121.929949,36.452324,-121.929829,H. cracherodii,rock,20,12,7.3,Good,4,Land,40,AH,Sofi,Sara ,4222026,
Soberanes,4202026,4,36.452335,-121.929949,36.452324,-121.929829,H. cracherodii,rock,20,12,7.3,Good,3,Land,40,AH,Sofi,Sara ,4222026,
Soberanes,4202026,4,36.452335,-121.929949,36.452324,-121.929829,H. cracherodii,rock,20,12,7.3,Good,6,Land,40,AH,Sofi,Sara ,4222026,
Soberanes,4202026,4,36.452335,-121.929949,36.452324,-121.929829,H. cracherodii,rock,15,7,8.1,Mod,4,Land,90,AH,Sofi,Sara ,4222026,
Soberanes,4202026,4,36.452335,-121.929949,36.452324,-121.929829,H. cracherodii,rock,8,10,20,Bad,14,Land,70,AH,Sofi,Sara ,4222026,
Soberanes,4202026,4,36.452335,-121.929949,36.452324,-121.929829,H. cracherodii,rock,8,10,20,Bad,9,Land,70,AH,Sofi,Sara ,4222026,
Soberanes,4202026,4,36.452335,-121.929949,36.452324,-121.929829,H. cracherodii,rock,1,99,18.6,Bad,5,Land,30,AH,Sofi,Sara ,4222026,
Soberanes,4202026,4,36.452335,-121.929949,36.452324,-121.929829,H. cracherodii,rock,20,20,18.7,Mod,12,Land,0,AH,Sofi,Sara ,4222026,
Soberanes,4202026,4,36.452335,-121.929949,36.452324,-121.929829,H. cracherodii,rock,1,99,14.5,Bad,5,Land,0,AH,Sofi,Sara ,4222026,