Site,Date,transect_no,start_lat,start_long,end_lat,end_long,transect_length,Species,Number,Investigators,entered_by,checked_by,
Pt Pinos,27022026,1,36.637967,121.936717,36.638083,121.936817,20,H. cracherodii,0,"Lily, Laney, KR, AR",Zach,Makenna,
Pt Pinos,27022026,1,36.637967,121.936717,36.638083,121.936817,20,S. purpuratus,182,"Lily, Laney, KR, AR",Zach,Makenna,
Pt Pinos,27022026,1,36.637967,121.936717,36.638083,121.936817,20,P. ochraceus,0,"Lily, Laney, KR, AR",Zach,Makenna,
Pt Pinos,27022026,1,36.637967,121.936717,36.638083,121.936817,20,P. miniata,7,"Lily, Laney, KR, AR",Zach,Makenna, 
Pt Pinos,27022026,2,36.6381,-121.93683,36.715,121.99389,20,S. purpuratus,59,"Tanya, Samreen",Samreen,Tanya,
Pt Pinos,27022026,2,36.6381,-121.93683,36.715,121.99389,20,P. miniata,4,"Tanya, Samreen",Samreen,Tanya,
Pt Pinos,27022026,2,36.6381,-121.93683,36.715,121.99389,20,P. ochraceus,0,"Tanya, Samreen",Samreen,Tanya,
Pt Pinos,27022026,2,36.6381,-121.93683,36.715,121.99389,20,H. cracherodii,0,"Tanya, Samreen",Samreen,Tanya,
Pt Pinos,27022026,3,36.63833,-121.9371,36.63847,-121.93715,20,S. purpuratus,84,"Samreen, Tanya",Tanya,Samreen,
Pt Pinos,27022026,3,36.63833,-121.9371,36.63847,-121.93715,20,P. miniata,2,"Samreen, Tanya",Tanya,Samreen,
Pt Pinos,27022026,3,36.63833,-121.9371,36.63847,-121.93715,20,P. ochraceus,0,"Samreen, Tanya",Tanya,Samreen,
Pt Pinos,27022026,3,36.63833,-121.9371,36.63847,-121.93715,20,H. cracherodii,0,"Samreen, Tanya",Tanya,Samreen,
Pt Pinos,2032026,4,NA,NA,36.63845,121.93726,20,P. ochraceus,0,"Makenna, Zach",Makenna,Zach,
Pt Pinos,2032026,4,NA,NA,36.63845,121.93726,20,P. miniata,10,"Makenna, Zach",Makenna,Zach,
Pt Pinos,2032026,4,NA,NA,36.63845,121.93726,20,S. purpuratus,178,"Makenna, Zach",Makenna,Zach,
Pt Pinos,2032026,4,NA,NA,36.63845,121.93726,20,H. cracherodii,17,"Makenna, Zach",Makenna,Zach,
Pt Pinos,2032026,5,NA,NA,36.63845,121.93726,20,P. ochraceus,0,"Lily, Sara, Parker, Samreen",Lily ,Emilio,
Pt Pinos,2032026,5,NA,NA,36.63845,121.93726,20,H. cracherodii,1,"Lily, Sara, Parker, Samreen",Lily ,Emilio,
Pt Pinos,2032026,5,NA,NA,36.63845,121.93726,20,P. miniata,8,"Lily, Sara, Parker, Samreen",Lily ,Emilio,
Pt Pinos,2032026,5,NA,NA,36.63845,121.93726,20,S. purpuratus,121,"Lily, Sara, Parker, Samreen",Lily ,Emilio,
Pt Pinos,2032026,6,36.63759,-121.93595,36.63768,-121.93623,30,H. cracherodii,1,"Hailey Alderson, Isabella Bravo",Hailey,Bravo,
Carmel Point,10032026,1,36.7166,-121.939444,36.713889,-121.940556,20,H. cracherodii,0,"Lily, Soren, Kai M, Laine",Emilio,Lily ,
Carmel Point,10032026,1,36.7166,-121.939444,36.713889,-121.940556,20,S. purpuratus,1601,"Lily, Soren, Kai M, Laine",Emilio,Lily ,
Carmel Point,10032026,1,36.7166,-121.939444,36.713889,-121.940556,20,P. ochraceus,0,"Lily, Soren, Kai M, Laine",Emilio,Lily ,
Carmel Point,10032026,1,36.7166,-121.939444,36.713889,-121.940556,20,P. miniata,2,"Lily, Soren, Kai M, Laine",Emilio,Lily ,
Carmel Point,1032026,2,36.544133,-121.933667,36.543967,-121.933867,20,H. rufescens,1,"Blanca,Sofia, PS",Hailey,Bravo,
Carmel Point,1032026,2,36.544133,-121.933667,36.543967,-121.933867,20,H. cracherodii,14,"Blanca,Sofia, PS",Hailey,Bravo,
Carmel Point,1032026,3,36.5439,-121. 93393,36.54377,-121. 93405,25,S. purpuratus,498,"DF, NB, RR",RR,,
Carmel Point,1032026,3,36.5439,-121. 93391,36.54377,-121. 93403,25,H. cracherodii,4,"DF, NB, RR",RR,,
Carmel Point,1032026,3,36.5439,-121. 93392,36.54377,-121. 93404,25,P. miniata,1,"DF, NB, RR",RR,,
Carmel Point,4192026,4,36.54154,-121.93243,36.54347,-121.93352,20,S. purpuratus,2075,"Blanca, Addison",Hailey,Bravo,
Carmel Point,4192026,4,36.54154,-121.93243,36.54347,-121.93352,20,P. miniata,13,"Blanca, Addison",Hailey,Bravo,
Carmel Point,4192026,4,36.54154,-121.93243,36.54347,-121.93352,20,H. cracherodii,4,"Blanca, Addison",Hailey,Bravo,
Carmel Point,4192026,5,36.5436624,-121.9391988,36.5434626,-121.9342002,20,H. cracherodii,6,"Zach, Ty",Zach,Makenna,
Carmel Point,4192026,5,36.5436624,-121.9391988,36.5434626,-121.9342002,20,S. purpuratus,1072,"Zach, Ty",Zach,Makenna,
Carmel Point,4192026,5,36.5436624,-121.9391988,36.5434626,-121.9342002,20,P. miniata,5,"Zach, Ty",Zach,Makenna,
Soberanes,4202026,1,36.452866,-121.930094,36.452861,-121.930271,20,H. cracherodii,9,"Zach, Makenna",Zach,Makenna,
Soberanes,4202026,1,36.452866,-121.930094,36.452861,-121.930271,20,S. purpuratus,261,"Zach, Makenna",Zach,Makenna,
Soberanes,4202026,1,36.452866,-121.930094,36.452861,-121.930271,20,P. ochraceus,2,"Zach, Makenna",Zach,Makenna,
Soberanes,4202026,1,36.452866,-121.930094,36.452861,-121.930271,20,P. miniata,2,"Zach, Makenna",Zach,Makenna,
Soberanes,4202026,2,36.45285,-121.929884,36.452896,-121.930074,20,H. cracherodii,1,"Lily, ericka ",,,
Soberanes,4202026,2,37.45285,-121.929884,36.452896,-121.930074,20,S. purpuratus,228,lily ericka ,,,
Soberanes,4202026,3,36.452535,-121.929873,NA,NA,20,H. cracherodii,13,"NB, RR. DF",Sofi,Sara,No listed Lat or Long for start and end
Soberanes,4202026,3,36.452535,-121.929873,NA,NA,20,P. ochraceus,3,"NB, RR. DF",Sofi,Sara,
Soberanes,4202026,3,36.452535,-121.929873,NA,NA,20,S. purpuratus,640,"NB, RR. DF",Sofi,Sara,
Soberanes,4202026,4,36.452335,-121.929949,36.452324,-121.929829,20,H. cracherodii,22,AH,Sofi,Sara,
Soberanes,4202026,4,36.452335,-121.929949,36.452324,-121.929829,20,S. purpuratus,373,AH,Sofi,,
Cannery Row,4212026,1,36.613756,-121.897403,36.613981,-121.898486,20,S. purpuratus,467,Ryan & Bravo,Bravo,Hailey,
Cannery Row,4212026,1,36.613756,-121.897403,36.613981,-121.898486,20,P. ochraceus,4,Ryan & Bravo,Bravo,Hailey,
Cannery Row,4212026,1,36.613756,-121.897403,36.613981,-121.898486,20,H. cracherodii,0,Lily,Lily ,Lily ,
Cannery Row,4212026,2,NA,NA,36.613915,-121.897608,20,P. miniata,0,"Lily, Samreen",Laine,Lily,
Cannery Row,4212026,2,NA,NA,36.613915,-121.897608,20,S. purpuratus,1,"Lily, Samreen",Laine,Lily,
Cannery Row,4212026,2,NA,NA,36.613915,-121.897608,20,H. cracherodii,0,"Lily, Samreen",Laine,Lily,
Cannery Row,4212026,2,NA,NA,36.613915,-121.897608,20,P. ochraceus,1,"Lily, Samreen",Laine,Lily,
Cannery Row,4222026,3,36.613894,-121.897625,36.614022,-121.897755,20,H. cracherodii,0,Samreen & Lily,Lily ,Laine ,
Cannery Row,4222026,3,36.613894,-121.897625,36.614022,-121.897755,20,S. purpuratus,237,Samreen & Lily,Lily ,Laine ,
Cannery Row,4222026,3,36.613894,-121.897625,36.614022,-121.897755,20,P. ochraceus,9,Samreen & Lily,Lily ,Laine ,
Cannery Row,4222026,3,36.613894,-121.897625,36.614022,-121.897755,20,P. miniata,0,Samreen & Lily,Lily ,Laine ,
Cannery Row,4212026,4,36.614368,-121.897904,36.614734,-121.897862,20,H. cracherodii,0,AH,Zach,Makenna,
Cannery Row,4212026,4,36.614368,-121.897904,36.614734,-121.897862,20,S. purpuratus,224,AH,Zach,Makenna,
Cannery Row,4212026,4,36.614368,-121.897904,36.614734,-121.897862,20,P. ochraceus,0,AH,Zach,Makenna,
Cannery Row,4212026,4,36.614368,-121.897904,36.614734,-121.897862,20,P. miniata,7,AH,Zach,Makenna,
Hopkins,4222026,1,NA,NA,NA,NA,20,H. cracherodii,0,"EQ, IO, BH",Zach,Makenna,
Hopkins,4222026,1,NA,NA,NA,NA,20,S. purpuratus,0,"EQ, IO, BH",Zach,Makenna,
Hopkins,4222026,1,NA,NA,NA,NA,20,P. miniata,0,"EQ, IO, BH",Zach,Makenna,
Hopkins,4222026,1,NA,NA,NA,NA,20,P. ochraceus,0,"EQ, IO, BH",Zach,Makenna,
Hopkins,4222026,2,36.621296,-121.903523,36.621123,-121.90422,20,H. cracherodii,0,"AB, DF, RR, LB",Zach,Makenna,
Hopkins,4222026,2,36.621296,-121.903523,36.621123,-121.90422,20,S. purpuratus,26,"AB, DF, RR, LB",Zach,Makenna,
Hopkins,4222026,2,36.621296,-121.903523,36.621123,-121.90422,20,P. ochraceus,0,"AB, DF, RR, LB",Zach,Makenna,
Hopkins,4222026,2,36.621296,-121.903523,36.621123,-121.90422,20,P. miniata,0,"AB, DF, RR, LB",Zach,Makenna,
Hopkins,4222026,4,36.621486,-121.903513,36.621576,-121.903395,20,P. ochraceus,0,"Zach, Makenna",Zach,Makenna,
Hopkins,4222026,4,36.621486,-121.903513,36.621576,-121.903395,20,P. miniata,0,"Zach, Makenna",Zach,Makenna,
Hopkins,4222026,4,36.621486,-121.903513,36.621576,-121.903395,20,H. cracherodii,21,"Zach, Makenna",Zach,Makenna,
Hopkins,4222026,4,36.621486,-121.903513,36.621576,-121.903395,20,S. purpuratus,105,"Zach, Makenna",Zach,Makenna,
Hopkins,4222026,5,36.621475,-121.903556,36.621141,-121.903707,20,S. purpuratus,35,Khiara & Allison,Khiara,Samreen,
Hopkins,4222026,5,36.621475,-121.903556,36.621141,-121.903707,20,P. ochraceus,2,Khiara & Allison,Khiara,Samreen,
Hopkins,4222026,5,36.621475,-121.903556,36.621141,-121.903707,20,H. cracherodii,0,Khiara & Allison,Lily ,Lily,