Site,Date,Transect No,Lat (Start),Long (Start),Lat (End),Long (End),Transect Length,Species,Number,Investigators,Entered By,Checked By,Crevice Condition
Cannery Row,20230419,2,36.613780N,121.89746W ,36.61407N,121.89735W,20,S. purpuratus,175,Gabby and Gladys,,,
Cannery Row,20230319,1,36.613788N,121.897391W,36.613923N,121.897928W,20,S. purpuratus,181,"Gabe, Caitlin",Caitlin,,
Cannery Row,20230319,3,36.61407N,121.89774W,36.61407N,121.89747W,20,S. purpuratus,599,Alison,Kaylee,,
Cannery Row,20230421,6,36.61437N,121.89792W,36.6145N,121.89775W,20,S. purpuratus,2325,Kaylee and Alison,Kaylee,,
Cannery Row,20230421,4,36.61401N,121.89778W,36.61416N,121.89785W,20,S. purpuratus,215,"Emma, Ann",Sophie,,
Cannery Row,20230421,5,36.61418N,121.89784W,36.61435N,121.89791W,20,S. purpuratus,414,"Brooke, Taylor, Henry",Taylor,,
Carmel Point,20230417,2,36.54415N,121.93379W,36.54398N,121.93384W,20,S. purpuratus,456,"Kaylee, Brooke, Taylor",Kaylee,,
Carmel Point,20230417,3,36.54369N,121.93389W,36.54384N,121.93401W,20,S. purpuratus,111,"Sophie, Alyssa, Henry, Nick",Sophie,,
Carmel Point,20230417,1,36.54434,-121.93371,36.54417,-121.93378,20,S. purpuratus,1250,"Sarah, Gabe, Alison",Sarah,,
Carmel Point,20230417,4,36.54384N,121.939404W,36.56372N,121.93417W,20,S. purpuratus,667,"GM, AM, AK, GC",,,
Hopkins,20230412,2,36.62113N,121.90326W,36.62126N,121.90339W,20,S. purpuratus,1,Kaylee & Mazie,Kaylee,,
Hopkins,20230412,1,36.6213N,121.90356W,36.6214981N,121.9036872W,20,S. purpuratus,96,"Sarah, An, Cristian, Devynn",Sarah,,
Hopkins,20230416,6,36.62173N,121.90375W,36.62186N,121.90359W,20,S. purpuratus,423,Alison and Mazie,Mazie,,
Hopkins,20230416,5,36.62154N,121.80350W,36.62174N,121.90360W,20,S. purpuratus,22,"Gladys,Caitlin",Gladys,,
Hopkins,20230412,3,36.62121N,121.90324W,36.62104N,121.90323N,20,S. purpuratus,206,Alison and Avery,,,
Hopkins,20230416,4,35.62136N,121.909331W,36.62153N,121.90334W,20,S. purpuratus,13,Taylor and Brooke,Avery,,
Pt Pinos,20230306,2,36.63795 N,121.93669 W,36.63804 N , 121.93677W,20,S. purpuratus,85,"Mazie L., Caitlin S., Gabby M., Avery M. ",Brooke G. ,,
Pt Pinos,20230306,1,36.63756N,121.93589W,36.63767N,121.935671W,20,S. purpuratus,65,"Sophie, An, Emma, Alyssa",Henry,,
Pt Pinos,20230320,3,36.63757N,121.93603W,36.63767N,121.93623W,20,S. purpuratus,89,Emma & Sarah,Sarah,,
Pt Pinos,20230320,4,36.638058N,121.936839W,36.63818N,121.93696W,20,S. purpuratus,19,Kaylee and Alyssa,Kaylee,,
Pt Pinos,20230320,6,36.63837N,121.93705W,36.63850N,121.93721W,20,S. purpuratus,106,Gabby and Avery,Avery,,
Pt Pinos,20230320,5,36.63821N,121.93694W,36.63835N,121.93702W,20,S. purpuratus,3,Zach and Nick,Zach,,
Pt Pinos,20230320,7,36.63847N,121.93727W,36.63842N,121.93749W,20,S. purpuratus,7,Zach and Nick,Zach,,
Pt Pinos,20230320,3,36.63757N,121.93603W,36.63767N,121.93623W,20,S. purpuratus,89,"Sarah, Brooke, Emma",Caitlin,,
Soberanes,20230422,1,36.452084N,121.929642W,36.45272N,121.92994W,20,S. purpuratus,1492,,AM,,
Soberanes,20230422,3,36.452407N,121.930027W,36.452514N,121.929839W,20,S. purpuratus,229,Kaylee and Emma,Kaylee,,
Soberanes,20230422,2,36.452084N,121.929642W,36.45272N,121.92994W,20,S. purpuratus,1364,"Brooke, Taylor, Avery, Gladys",Sarah,,
Soberanes,20230422,4,36.45239N,121.9300027W,36.452321N,121.9298390W,20,S. purpuratus,957,"An, Allison",Alyssa,,
Cannery Row,20230419,2,36.613780N,121.89746W ,36.61407N,121.89735W,20,S. franciscanus,0,Gabby and Gladys,,,
Cannery Row,20230319,1,36.613788N,121.897391W,36.613923N,121.897928W,20,S. franciscanus,0,"Gabe, Caitlin",Caitlin,,
Cannery Row,20230319,3,36.61407N,121.89774W,36.61407N,121.89747W,20,S. franciscanus,0,Alison,Kaylee,,
Cannery Row,20230421,6,36.61437N,121.89792W,36.6145N,121.89775W,20,S. franciscanus,0,Kaylee and Alison,Kaylee,,
Cannery Row,20230421,4,36.61401N,121.89778W,36.61416N,121.89785W,20,S. franciscanus,0,"Emma, Ann",Sophie,,
Cannery Row,20230421,5,36.61418N,121.89784W,36.61435N,121.89791W,20,S. franciscanus,0,"Brooke, Taylor, Henry",Taylor,,
Carmel Point,20230417,2,36.54415N,121.93379W,36.54398N,121.93384W,20,S. franciscanus,0,"Kaylee, Brooke, Taylor",Kaylee,,
Carmel Point,20230417,1,36.54434,-121.93371,36.54417,-121.93378,20,S. franciscanus,0,"Sarah, Gabe, Alison",Sarah,,
Carmel Point,20230417,4,36.54384N,121.939404W,36.56372N,121.93417W,20,S. franciscanus,0,"GM, AM, AK, GC",,,
Hopkins,20230412,2,36.62113N,121.90326W,36.62126N,121.90339W,20,S. franciscanus,0,Kaylee & Mazie,Kaylee,,
Hopkins,20230412,1,36.6213N,121.90356W,36.6214981N,121.9036872W,20,S. franciscanus,0,"Sarah, An, Cristian, Devynn",Sarah,,
Hopkins,20230416,6,36.62173N,121.90375W,36.62186N,121.90359W,20,S. franciscanus,0,Alison and Mazie,Mazie,,
Hopkins,20230416,5,36.62154N,121.80350W,36.62174N,121.90360W,20,S. franciscanus,0,"Gladys,Caitlin",Gladys,,
Hopkins,20230412,3,36.62121N,121.90324W,36.62104N,121.90323N,20,S. franciscanus,0,Alison and Avery,,,
Hopkins,20230416,4,35.62136N,121.909331W,36.62153N,121.90334W,20,S. franciscanus,0,Taylor and Brooke,Avery,,
Pt Pinos,20230306,2,36.63795 N,121.93669 W,36.63804 N , 121.93677W,20,S. franciscanus,0,"Mazie L., Caitlin S., Gabby M., Avery M. ",Brooke G. ,,
Pt Pinos,20230306,1,36.63756N,121.93589W,36.63767N,121.935671W,20,S. franciscanus,0,"Sophie, An, Emma, Alyssa",Henry,,
Pt Pinos,20230320,3,36.63757N,121.93603W,36.63767N,121.93623W,20,S. franciscanus,0,Emma & Sarah,Sarah,,
Pt Pinos,20230320,4,36.638058N,121.936839W,36.63818N,121.93696W,20,S. franciscanus,0,Kaylee and Alyssa,Kaylee,,
Pt Pinos,20230320,6,36.63837N,121.93705W,36.63850N,121.93721W,20,S. franciscanus,0,Gabby and Avery,Avery,,
Pt Pinos,20230320,5,36.63821N,121.93694W,36.63835N,121.93702W,20,S. franciscanus,0,Zach and Nick,Zach,,
Pt Pinos,20230320,7,36.63847N,121.93727W,36.63842N,121.93749W,20,S. franciscanus,0,Zach and Nick,Zach,,
Pt Pinos,20230320,3,36.63757N,121.93603W,36.63767N,121.93623W,20,S. franciscanus,0,"Sarah, Brooke, Emma",Caitlin,,
Soberanes,20230422,1,36.452084N,121.929642W,36.45272N,121.92994W,20,S. franciscanus,0,,AM,,
Soberanes,20230422,3,36.452407N,121.930027W,36.452514N,121.929839W,20,S. franciscanus,0,Kaylee and Emma,Kaylee,,
Soberanes,20230422,2,36.452084N,121.929642W,36.45272N,121.92994W,20,S. franciscanus,0,"Brooke, Taylor, Avery, Gladys",Sarah,,
Soberanes,20230422,4,36.45239N,121.9300027W,36.452321N,121.9298390W,20,S. franciscanus,0,"An, Allison",Alyssa,,
Cannery Row,20230419,2,36.613780N,121.89746W ,36.61407N,121.89735W,20,P. ochraceus,5,Gabby and Gladys,,,
Cannery Row,20230319,1,36.613788N,121.897391W,36.613923N,121.897928W,20,P. ochraceus,11,"Gabe, Caitlin",Caitlin,,
Cannery Row,20230319,3,36.61407N,121.89774W,36.61407N,121.89747W,20,P. ochraceus,6,Alison,Kaylee,,
Cannery Row,20230421,6,36.61437N,121.89792W,36.6145N,121.89775W,20,P. ochraceus,3,Kaylee and Alison,Kaylee,,
Cannery Row,20230421,4,36.61401N,121.89778W,36.61416N,121.89785W,20,P. ochraceus,8,"Emma, Ann",Sophie,,
Cannery Row,20230421,5,36.61418N,121.89784W,36.61435N,121.89791W,20,P. ochraceus,19,"Brooke, Taylor, Henry",Taylor,,
Carmel Point,20230417,2,36.54415N,121.93379W,36.54398N,121.93384W,20,P. ochraceus,0,"Kaylee, Brooke, Taylor",Kaylee,,
Carmel Point,20230417,3,36.54369N,121.93389W,36.54384N,121.93401W,20,P. ochraceus,7,"Sophie, Alyssa, Henry, Nick",Sophie,,
Carmel Point,20230417,1,36.54434,-121.93371,36.54417,-121.93378,20,P. ochraceus,0,"Sarah, Gabe, Alison",Sarah,,
Carmel Point,20230417,4,36.54384N,121.939404W,36.56372N,121.93417W,20,P. ochraceus,0,"GM, AM, AK, GC",,,
Hopkins,20230412,2,36.62113N,121.90326W,36.62126N,121.90339W,20,P. ochraceus,0,Kaylee & Mazie,Kaylee,,
Hopkins,20230412,1,36.6213N,121.90356W,36.6214981N,121.9036872W,20,P. ochraceus,0,"Sarah, An, Cristian, Devynn",Sarah,,
Hopkins,20230416,6,36.62173N,121.90375W,36.62186N,121.90359W,20,P. ochraceus,0,Alison and Mazie,Mazie,,
Hopkins,20230416,5,36.62154N,121.80350W,36.62174N,121.90360W,20,P. ochraceus,0,"Gladys,Caitlin",Gladys,,
Hopkins,20230412,3,36.62121N,121.90324W,36.62104N,121.90323N,20,P. ochraceus,0,Alison and Avery,,,
Hopkins,20230416,4,35.62136N,121.909331W,36.62153N,121.90334W,20,P. ochraceus,0,Taylor and Brooke,Avery,,
Pt Pinos,20230306,2,36.63795 N,121.93669 W,36.63804 N , 121.93677W,20,P. ochraceus,0,"Mazie L., Caitlin S., Gabby M., Avery M. ",Brooke G. ,,
Pt Pinos,20230306,1,36.63756N,121.93589W,36.63767N,121.935671W,20,P. ochraceus,1,"Sophie, An, Emma, Alyssa",Henry,,
Pt Pinos,20230320,3,36.63757N,121.93603W,36.63767N,121.93623W,20,P. ochraceus,0,Emma & Sarah,Sarah,,
Pt Pinos,20230320,4,36.638058N,121.936839W,36.63818N,121.93696W,20,P. ochraceus,0,Kaylee and Alyssa,Kaylee,,
Pt Pinos,20230320,6,36.63837N,121.93705W,36.63850N,121.93721W,20,P. ochraceus,0,Gabby and Avery,Avery,,
Pt Pinos,20230320,5,36.63821N,121.93694W,36.63835N,121.93702W,20,P. ochraceus,0,Zach and Nick,Zach,,
Pt Pinos,20230320,7,36.63847N,121.93727W,36.63842N,121.93749W,20,P. ochraceus,0,Zach and Nick,Zach,,
Pt Pinos,20230320,3,36.63757N,121.93603W,36.63767N,121.93623W,20,P. ochraceus,0,"Sarah, Brooke, Emma",Caitlin,,
Soberanes,20230422,1,36.452084N,121.929642W,36.45272N,121.92994W,20,P. ochraceus,11,,,,
Soberanes,20230422,3,36.452407N,121.930027W,36.452514N,121.929839W,20,P. ochraceus,0,Kaylee and Emma,Kaylee,,
Soberanes,20230422,2,36.452084N,121.929642W,36.45272N,121.92994W,20,P. ochraceus,11,"Brooke, Taylor, Avery, Gladys",Sarah,,
Soberanes,20230422,4,36.45239N,121.9300027W,36.452321N,121.9298390W,20,P. ochraceus,1,"An, Allison",Alyssa,,
Cannery Row,20230419,2,36.613780N,121.89746W ,36.61407N,121.89735W,20,P. miniata,1,Gabby and Gladys,,,
Cannery Row,20230319,1,36.613788N,121.897391W,36.613923N,121.897928W,20,P. miniata,0,"Gabe, Caitlin",Caitlin,,
Cannery Row,20230319,3,36.61407N,121.89774W,36.61407N,121.89747W,20,P. miniata,0,Alison,Kaylee,,
Cannery Row,20230421,6,36.61437N,121.89792W,36.6145N,121.89775W,20,P. miniata,0,Kaylee and Alison,Kaylee,,
Cannery Row,20230421,4,36.61401N,121.89778W,36.61416N,121.89785W,20,P. miniata,0,"Emma, Ann",Sophie,,
Cannery Row,20230421,5,36.61418N,121.89784W,36.61435N,121.89791W,20,P. miniata,0,"Brooke, Taylor, Henry",Taylor,,
Carmel Point,20230417,2,36.54415N,121.93379W,36.54398N,121.93384W,20,P. miniata,31,"Kaylee, Brooke, Taylor",Kaylee,,
Carmel Point,20230417,3,36.54369N,121.93389W,36.54384N,121.93401W,20,P. miniata,7,"Sophie, Alyssa, Henry, Nick",Sophie,,
Carmel Point,20230417,1,36.54434,-121.93371,36.54417,-121.93378,20,P. miniata,9,"Sarah, Gabe, Alison",Sarah,,
Carmel Point,20230417,4,36.54384N,121.939404W,36.56372N,121.93417W,20,P. miniata,28,"GM, AM, AK, GC",,,
Hopkins,20230412,2,36.62113N,121.90326W,36.62126N,121.90339W,20,P. miniata,0,Kaylee & Mazie,Kaylee,,
Hopkins,20230412,1,36.6213N,121.90356W,36.6214981N,121.9036872W,20,P. miniata,0,"Sarah, An, Cristian, Devynn",Sarah,,
Hopkins,20230416,6,36.62173N,121.90375W,36.62186N,121.90359W,20,P. miniata,5,Alison and Mazie,Mazie,,
Hopkins,20230416,5,36.62154N,121.80350W,36.62174N,121.90360W,20,P. miniata,0,"Gladys,Caitlin",Gladys,,
Hopkins,20230412,3,36.62121N,121.90324W,36.62104N,121.90323N,20,P. miniata,0,Alison and Avery,,,
Hopkins,20230416,4,35.62136N,121.909331W,36.62153N,121.90334W,20,P. miniata,0,Taylor and Brooke,Avery,,
Pt Pinos,20230306,2,36.63795 N,121.93669 W,36.63804 N , 121.93677W,20,P. miniata,1,"Mazie L., Caitlin S., Gabby M., Avery M. ",Brooke G. ,,
Pt Pinos,20230306,1,36.63756N,121.93589W,36.63767N,121.935671W,20,P. miniata,4,"Sophie, An, Emma, Alyssa",Henry,,
Pt Pinos,20230320,3,36.63757N,121.93603W,36.63767N,121.93623W,20,P. miniata,0,Emma & Sarah,Sarah,,
Pt Pinos,20230320,4,36.638058N,121.936839W,36.63818N,121.93696W,20,P. miniata,0,Kaylee and Alyssa,Kaylee,,
Pt Pinos,20230320,6,36.63837N,121.93705W,36.63850N,121.93721W,20,P. miniata,13,Gabby and Avery,Avery,,
Pt Pinos,20230320,5,36.63821N,121.93694W,36.63835N,121.93702W,20,P. miniata,2,Zach and Nick,Zach,,
Pt Pinos,20230320,7,36.63847N,121.93727W,36.63842N,121.93749W,20,P. miniata,5,Zach and Nick,Zach,,
Pt Pinos,20230320,3,36.63757N,121.93603W,36.63767N,121.93623W,20,P. miniata,0,"Sarah, Brooke, Emma",Caitlin,,
Soberanes,20230422,1,36.452084N,121.929642W,36.45272N,121.92994W,20,P. miniata,0,,,,
Soberanes,20230422,3,36.452407N,121.930027W,36.452514N,121.929839W,20,P. miniata,0,Kaylee and Emma,Kaylee,,
Soberanes,20230422,2,36.452084N,121.929642W,36.45272N,121.92994W,20,P. miniata,0,"Brooke, Taylor, Avery, Gladys",Sarah,,
Soberanes,20230422,4,36.45239N,121.9300027W,36.452321N,121.9298390W,20,P. miniata,0,"An, Allison",Alyssa,,
Cannery Row,20230419,2,36.613780N,121.89746W ,36.61407N,121.89735W,20,H. rufescens,0,Gabby and Gladys,,,
Cannery Row,20230319,1,36.613788N,121.897391W,36.613923N,121.897928W,20,H. rufescens,0,"Gabe, Caitlin",Caitlin,,
Cannery Row,20230319,3,36.61407N,121.89774W,36.61407N,121.89747W,20,H. rufescens,0,Alison,Kaylee,,
Cannery Row,20230421,6,36.61437N,121.89792W,36.6145N,121.89775W,20,H. rufescens,0,Kaylee and Alison,Kaylee,,
Cannery Row,20230421,4,36.61401N,121.89778W,36.61416N,121.89785W,20,H. rufescens,0,"Emma, Ann",Sophie,,
Cannery Row,20230421,5,36.61418N,121.89784W,36.61435N,121.89791W,20,H. rufescens,0,"Brooke, Taylor, Henry",Taylor,,
Carmel Point,20230417,2,36.54415N,121.93379W,36.54398N,121.93384W,20,H. rufescens,0,"Kaylee, Brooke, Taylor",Kaylee,,
Carmel Point,20230417,1,36.54434,-121.93371,36.54417,-121.93378,20,H. rufescens,0,"Sarah, Gabe, Alison",Sarah,,
Carmel Point,20230417,4,36.54384N,121.939404W,36.56372N,121.93417W,20,H. rufescens,1,"GM, AM, AK, GC",,,
Hopkins,20230412,2,36.62113N,121.90326W,36.62126N,121.90339W,20,H. rufescens,0,Kaylee & Mazie,Kaylee,,
Hopkins,20230412,1,36.6213N,121.90356W,36.6214981N,121.9036872W,20,H. rufescens,0,"Sarah, An, Cristian, Devynn",Sarah,,
Hopkins,20230416,6,36.62173N,121.90375W,36.62186N,121.90359W,20,H. rufescens,0,Alison and Mazie,Mazie,,
Hopkins,20230416,5,36.62154N,121.80350W,36.62174N,121.90360W,20,H. rufescens,0,"Gladys,Caitlin",Gladys,,
Hopkins,20230412,3,36.62121N,121.90324W,36.62104N,121.90323N,20,H. rufescens,0,Alison and Avery,,,
Hopkins,20230416,4,35.62136N,121.909331W,36.62153N,121.90334W,20,H. rufescens,0,Taylor and Brooke,Avery,,
Pt Pinos,20230306,2,36.63795 N,121.93669 W,36.63804 N , 121.93677W,20,H. rufescens,0,"Mazie L., Caitlin S., Gabby M., Avery M. ",Brooke G. ,,
Pt Pinos,20230306,1,36.63756N,121.93589W,36.63767N,121.935671W,20,H. rufescens,0,"Sophie, An, Emma, Alyssa",Henry,,
Pt Pinos,20230320,3,36.63757N,121.93603W,36.63767N,121.93623W,20,H. rufescens,0,Emma & Sarah,Sarah,,
Pt Pinos,20230320,6,36.63837N,121.93705W,36.63850N,121.93721W,20,H. rufescens,0,Gabby and Avery,Avery,,
Pt Pinos,20230320,5,36.63821N,121.93694W,36.63835N,121.93702W,20,H. rufescens,0,Zach and Nick,Zach,,
Pt Pinos,20230320,7,36.63847N,121.93727W,36.63842N,121.93749W,20,H. rufescens,0,Zach and Nick,Zach,,
Soberanes,20230422,1,36.452084N,121.929642W,36.45272N,121.92994W,20,H. rufescens,0,,,,
Soberanes,20230422,3,36.452407N,121.930027W,36.452514N,121.929839W,20,H. rufescens,0,Kaylee and Emma,Kaylee,,
Soberanes,20230422,2,36.452084N,121.929642W,36.45272N,121.92994W,20,H. rufescens,0,"Brooke, Taylor, Avery, Gladys",Sarah,,
Soberanes,20230422,4,36.45239N,121.9300027W,36.452321N,121.9298390W,20,H. rufescens,0,"An, Allison",Alyssa,,
Cannery Row,20230419,2,36.613780N,121.89746W ,36.61407N,121.89735W,20,H. cracherodii,3,Gabby and Gladys,Avery,,
Cannery Row,20230319,1,36.613788N,121.897391W,36.613923N,121.897928W,20,H. cracherodii,0,"Gabe, Caitlin",Caitlin,,
Cannery Row,20230319,3,36.61407N,121.89774W,36.61407N,121.89747W,20,H. cracherodii,0,"Gabe, Caitlin",Caitlin,,
Cannery Row,20230421,6,36.61437N,121.89792W,36.6145N,121.89775W,20,H. cracherodii,0,Kaylee and Alison,Kaylee,,
Cannery Row,20230421,4,36.61401N,121.89778W,36.61416N,121.89785W,20,H. cracherodii,0,"Emma, Ann",Sophie,,
Cannery Row,20230421,5,36.61418N,121.89784W,36.61435N,121.89791W,20,H. cracherodii,0,"Brooke, Taylor, Henry",Taylor,,
Carmel Point,20230417,2,36.54415N,121.93379W,36.54398N,121.93384W,20,H. cracherodii,19,"Kaylee, Brooke, Taylor",Kaylee,,
Carmel Point,20230417,3,36.54369N,121.93389W,36.54384N,121.93401W,20,H. cracherodii,10,"Sophie, Alyssa, Henry, Nick",Sophie,,
Carmel Point,20230417,1,36.54434,-121.93371,36.54417,-121.93378,20,H. cracherodii,21,"Sarah, Gabe, Alison",Sarah,,
Carmel Point,20230417,4,36.54384N,121.939404W,36.56372N,121.93417W,20,H. cracherodii,12,"GM, AM, AK, GC",,,
Hopkins,20230412,2,36.62113N,121.90326W,36.62126N,121.90339W,20,H. cracherodii,1,Kaylee & Mazie,Kaylee,,
Hopkins,20230412,1,36.6213N,121.90356W,36.6214981N,121.9036872W,20,H. cracherodii,0,"Sarah, An, Cristian, Devynn",Sarah,,
Hopkins,20230416,6,36.62173N,121.90375W,36.62186N,121.90359W,20,H. cracherodii,0,Alison and Mazie,Mazie,,
Hopkins,20230416,5,36.62154N,121.80350W,36.62174N,121.90360W,20,H. cracherodii,2,"Gladys,Caitlin",Gladys,,
Hopkins,20230412,3,36.62121N,121.90324W,36.62104N,121.90323N,20,H. cracherodii,9,Alison and Avery,Kaylee,,
Hopkins,20230416,4,35.62136N,121.909331W,36.62153N,121.90334W,20,H. cracherodii,1,Taylor and Brooke,Avery,,
Pt Pinos,20230306,2,36.63795 N,121.93669 W,36.63804 N , 121.93677W,20,H. cracherodii,1,"Mazie L., Caitlin S., Gabby M., Avery M. ",Brooke G. ,,
Pt Pinos,20230306,1,36.63756N,121.93589W,36.63767N,121.935671W,20,H. cracherodii,7,"Sophie, An, Emma, Alyssa",Henry,,
Pt Pinos,20230320,3,36.63757N,121.93603W,36.63767N,121.93623W,20,H. cracherodii,3,Emma & Sarah,Sarah,,
Pt Pinos,20230320,4,36.638058N,121.936839W,36.63818N,121.93696W,20,H. cracherodii,2,Kaylee and Alyssa,Kaylee,,
Pt Pinos,20230320,6,36.63837N,121.93705W,36.63850N,121.93721W,20,H. cracherodii,10,Gabby and Avery,Avery,,
Pt Pinos,20230320,5,36.63821N,121.93694W,36.63835N,121.93702W,20,H. cracherodii,0,Zach and Nick,Zach,,
Pt Pinos,20230320,7,36.63847N,121.93727W,36.63842N,121.93749W,20,H. cracherodii,0,Zach and Nick,Zach,,
Pt Pinos,20230320,3,36.63757N,121.93603W,36.63767N,121.93623W,20,H. cracherodii,3,"Sarah, Brooke, Emma",Caitlin,,
Soberanes,20230422,1,36.452084N,121.929642W,36.45272N,121.92994W,20,H. cracherodii,2,,AM,,
Soberanes,20230422,3,36.452407N,121.930027W,36.452514N,121.929839W,20,H. cracherodii,20,Kaylee and Emma,Kaylee,,
Soberanes,20230422,2,36.452084N,121.929642W,36.45272N,121.92994W,20,H. cracherodii,1,"Brooke, Taylor, Avery, Gladys",Sarah,,
Soberanes,20230422,4,36.45239N,121.9300027W,36.452321N,121.9298390W,20,H. cracherodii,13,"An, Allison",Alyssa,,